plotID,datetime,SM_10,SM_20
AEG45,2412,NA,NA
AEG45,2413,NA,NA
AEG45,2414,NA,NA
AEG45,2415,NA,NA
AEG45,2416,NA,NA
AEG45,2417,NA,NA
AEG45,2418,NA,NA
AEG45,2419,NA,NA
AEG45,2420,NA,NA
AEG45,2421,NA,NA
AEG45,2422,NA,NA
AEG45,2423,NA,NA
AEG45,2424,NA,NA
AEG45,2425,NA,NA
AEG45,2426,NA,NA
AEG45,2427,NA,NA
AEG45,2428,NA,NA
AEG45,2429,NA,NA
AEG45,2430,NA,NA
AEG45,2431,NA,NA
AEG45,2432,NA,NA
AEG45,2433,NA,NA
AEG45,2434,NA,NA
AEG45,2435,NA,NA
AEG45,2436,NA,NA
AEG45,2437,NA,NA
AEG45,2438,NA,NA
